Wyoming,Heron,085526,10001
New_Jerse,Fox,055063,10002
Netherlan,Pristioph,095307,10003
North_Car,American_,068766,10004
Sweden,Ostrich,034842,10005
TRINIDAD_,Black_pan,006570,10006
Saudi_Ara,Jackal,085058,10007
Japan,Triaenodo,013523,10008
Georgia,Lion,069173,10009
Netherlan,Polecat,063636,10010
Turkey,Gerbil,055680,10011
New_Mexic,Goldfinch,045440,10012
Ukraine,Sheep,060364,10013
Missouri,Columbida,085378,10014
Slovakia,Gorilla,048423,10015
Pennsylva,Chamois,091219,10016
Tuvalu,Scoliodon,092305,10017
Wisconsin,Fox,043688,10018
NEW_ZEALA,Sphyrna_l,043201,10019
Thailand,Flamingo,060630,10020
Texas,Anatidae,077816,10021
Missouri,Zebra,093882,10022
Californi,Isogompho,056339,10023
Rhode_Isl,Sawshark,029239,10024
Ghana,Hornet,033857,10025
Pennsylva,Triakis,097231,10026
Cyprus,Heron,022520,10027
Croatia,Cormorant,078712,10028
Tunisia,Crow,075679,10029
Switzerla,Ram,049697,10030
Mississip,Parascyll,062109,10031
Greece,Triakis,085296,10032
Massachus,Triakis,087397,10033
MARSHALL_,Parmaturu,097768,10034
Sweden,Fish,094581,10035
EQUATORIA,Apristuru,099556,10036
Tonga,Chiloscyl,072188,10037
Dominica,Skunk,046764,10038
Georgia,Badger,065943,10039
Tanzania,Hornet,070896,10040
Wisconsin,Whale_Sha,046228,10041
Illinois,Cheetah,054771,10042
Japan,Chiloscyl,013889,10043
Spain,Swan,003535,10044
Hawaii,Sphyrna_l,047353,10045
Hawaii,Alligator,071617,10046
Vatican_C,Jackal,074719,10047
Turkey,Carcharhi,041119,10048
South_Car,Fox,044127,10049
Jordan,Swan,078277,10050
North_Car,Lamna,000918,10051
Saudi_Ara,Hornet,070861,10052
Taiwan,Apristuru,061291,10053
Tennessee,Partridge,086952,10054
Monaco,Partridge,018984,10055
Illinois,Alligator,048230,10056
Australia,Baboon,044810,10057
Italy,Donkey,022316,10058
South_Car,Squalifor,003632,10059
COSTA_RIC,Fish,059624,10060
Ethiopia,Flamingo,001296,10061
DOMINICAN,Poroderma,065572,10062
South_Car,Hamster,014405,10063
Oregon,Prionace_,022851,10064
Croatia,Sheep,027628,10065
South_Car,Pristioph,047026,10066
Ghana,Camel,071018,10067
Slovenia,Heron,078611,10068
Louisiana,Hornet,049807,10069
Washingto,Squalifor,048106,10070
Morocco,Snipe,022612,10071
Wyoming,Reindeer,038644,10072
Barbados,Fox,015344,10073
Zambia,Columbida,012387,10074
Sweden,Pristioph,032568,10075
Kiribati,Chamois,064262,10076
Tunisia,Crow,013110,10077
Wyoming,Hemiscyll,075296,10078
Romania,Triaenodo,025678,10079
Slovakia,Lion,081423,10080
Massachus,Alligator,044103,10081
Tunisia,American_,096454,10082
Italy,Sawshark,062014,10083
Maryland,Fox,064041,10084
Ethiopia,Snipe,089030,10085
Cyprus,Nightinga,049987,10086
Georgia,Whale_Sha,029844,10087
NEW_ZEALA,Triakis,031529,10088
France,Otter,027344,10089
Taiwan,Sphyrna_l,066917,10090
Switzerla,Badger,070562,10091
Ireland,Ram,039056,10092
Malaysia,Pristioph,055486,10093
Louisiana,Quail,037591,10094
Cyprus,Hornet,036007,10095
